Job Title,Rating,Company Name,Headquarters,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Location City,Location State,Est_Salary
Data Analyst,3.9,Jam City,"Los Angeles, CA",2010,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,0,Culver City, CA,146.5
Data Analyst,3.8,Guggenheim Partners,"Chicago, IL",1999,Private Practice / Firm,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,"BlackRock, Nuveen, Piper Sandler",0,Santa Monica, CA,146.5
Data Analyst,4.8,Ad.net,"Los Angeles, CA",2001,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,Los Angeles, CA,146.5
Data Scientist,3.2835763622409817,Molecular Instruments,"Los Angeles, CA",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Los Angeles, CA,146.5
Data Analyst,4.3,Signal Sciences,"Culver City, CA",2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,Los Angeles, CA,146.5
Data Analyst,5.0,Connect International,"West Roxbury, MA",1976,Nonprofit Organization,-1,Unknown,Unknown / Non-Applicable,-1,0,Los Angeles, CA,146.5
Data Analyst,4.5,HireTalent,"New York, NY",1997,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,Los Angeles, CA,146.5
Data Scientist,3.9,Amazon,"Seattle, WA",1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,Culver City, CA,146.5
Data Scientist,3.3,Allscripts,"Chicago, IL",1986,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Cerner, Epic, Athena Health Care Systems",0,Whittier, CA,99.0
Data Analyst,3.8,TikTok,"Los Angeles, CA",2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,Los Angeles, CA,99.0
Data Scientist,4.9,Jobot,"Irvine, CA",2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,Los Angeles, CA,99.0
Data Engineer,3.9,Cedars-Sinai,"Los Angeles, CA",1902,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),"UCLA Health, City of Hope, Keck Medicine of USC",0,Los Angeles, CA,99.0
Data Scientist,3.7,CodeForce 360,"Alpharetta, GA",2010,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,Los Angeles, CA,99.0
Data Scientist,3.2835763622409817,Ipsos North America,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Culver City, CA,99.0
Data Scientist,2.8,21st Century Fox,"Los Angeles, CA",1993,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,-1,0,Los Angeles, CA,99.0
MANAGER,4.4,Honey,"Los Angeles, CA",2012,Subsidiary or Business Segment,Internet,Information Technology,$100 to $500 million (USD),-1,1,Los Angeles, CA,99.0
Data Scientist,3.9,Warner Bros. Entertainment,"Burbank, CA",1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),NBCUniversal,0,Burbank, CA,99.0
Data Engineer,4.7,TEEMA,"Litchfield Park, AZ",2008,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,0,Los Angeles, CA,99.0
Data Scientist,3.2,Grifols,"Barcelona, Spain",1909,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1,0,Los Angeles, CA,99.0
Data Analyst,4.5,PUBG Santa Monica,"Seoul, South Korea",2017,Company - Private,Video Games,Media,Unknown / Non-Applicable,"Activision, Riot Games, Electronic Arts",0,Los Angeles, CA,99.0
Data Analyst,5.0,First Professional Services,"Piscataway, NJ",2018,Subsidiary or Business Segment,Internet,Information Technology,$1 to $5 million (USD),-1,0,Los Angeles, CA,99.0
Data Analyst,3.9,Lucky Day,"Los Angeles, CA",2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,Los Angeles, CA,99.0
Data Analyst,3.5,HITRECORD,"Van Nuys, CA",1976,Company - Private,-1,Unknown,Less than $1 million (USD),-1,0,Los Angeles, CA,99.0
Data Engineer,3.8,Mondo,"New York, NY",2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Robert Half, Insight Global",0,Los Angeles, CA,99.0
Data Engineer,3.1,The Honest Company,"Los Angeles, CA",2012,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1,1,Los Angeles, CA,99.0
Data Scientist,4.1,Apple,"Cupertino, CA",1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics",0,Culver City, CA,99.0
Data Scientist,3.4,V Group Inc.,"Louisville, KY",1997,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0,Northridge, CA,99.0
Data Scientist,3.2835763622409817,AccessHope,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Irwindale, CA,99.0
DATA SCIENCE RESIDENT,3.9,Galvanize Inc.,"Denver, CO",2012,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,"General Assembly, Hack Reactor, WeWork",0,Los Angeles, CA,99.0
DATA SCIENCE SPECIALIST,3.9,The Aerospace Corporation,"El Segundo, CA",1960,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,El Segundo, CA,99.0
Data Scientist,3.1,Beyond Meat,"Los Angeles, CA",2009,Company - Public,Food & Beverage Manufacturing,Manufacturing,$1 to $5 million (USD),-1,0,El Segundo, CA,99.0
MANAGER,2.3,Honey,"Toronto, Canada",2003,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1,0,Los Angeles, CA,99.0
Data Analyst,3.1,"Relevante, Inc.","Berwyn, PA",2002,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,Los Angeles, CA,99.0
HEAD OF DATA SCIENCE,3.8,TikTok,"Los Angeles, CA",2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,Los Angeles, CA,99.0
Data Engineer,3.2835763622409817,Evolvinc,"Los Angeles, CA",2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,Burbank, CA,99.0
Data Scientist,4.2,University of Southern California,"Los Angeles, CA",1880,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1,0,Los Angeles, CA,99.0
Data Scientist,3.4,Kelly,"Troy, MI",1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),"Adecco, ManpowerGroup, Allegis Corporation",0,Santa Monica, CA,99.0
Data Scientist,3.2835763622409817,Talent Acquisition Québec,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Los Angeles, CA,99.0
Data Scientist,4.0,Genentech,"South San Francisco, CA",1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,Los Angeles, CA,176.0
Data Analyst,3.4,Gilead Sciences,"Foster City, CA",1987,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,Santa Monica, CA,176.0
Data Scientist,4.0,Langan Engineering and Environmental Services,"Parsippany, NJ",1970,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD),-1,0,Los Angeles, CA,176.0
BUSINESS ANALYTICS MANAGER,4.5,Miro,"San Francisco, CA",2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Trello, Slack, Lucid Software",1,Los Angeles, CA,176.0
BUSINESS ANALYTICS MANAGER,4.5,Miro,"San Francisco, CA",2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Trello, Slack, Lucid Software",1,Los Angeles, CA,176.0
Data Scientist,3.9,The Aerospace Corporation,"El Segundo, CA",1960,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,El Segundo, CA,176.0
Data Scientist,3.6,Activision Blizzard,"Santa Monica, CA",1979,Company - Public,Video Games,Media,$5 to $10 billion (USD),-1,0,Santa Monica, CA,176.0
Data Engineer,4.0,Idealab,"Pasadena, CA",2006,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),-1,0,Pasadena, CA,176.0
Data Scientist,5.0,WB Technology,"Bishnupur , India",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Burbank, CA,176.0
Data Scientist,4.2,University of Southern California,"Los Angeles, CA",1880,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1,0,Los Angeles, CA,176.0
Data Scientist,3.7,IBM,"Armonk, NY",1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",0,Los Angeles, CA,176.0
Data Analyst,3.8,Enterprise Solutions Inc,"Naperville, IL",2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,Los Angeles, CA,176.0
Data Scientist,3.5,iRobot,"Bedford, MA",1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),-1,0,Pasadena, CA,176.0
Data Scientist,3.6,US Department of Energy,"Washington, DC",1977,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,Los Angeles, CA,176.0
Data Analyst,3.5,Cenergy,"Milton, WV",1976,Company - Private,Construction,"Construction, Repair & Maintenance",$10 to $25 million (USD),-1,0,Irwindale, CA,176.0
Data Analyst,3.8,Dollar Shave Club,"Marina del Rey, CA",2011,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable,-1,0,Marina del Rey, CA,176.0
DIGITAL ANALYTICS MANAGER,3.1,The Honest Company,"Los Angeles, CA",2012,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1,1,Los Angeles, CA,176.0
Data Scientist,3.2,RAPP,"New York, NY",1965,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"R/GA, MRM",1,Los Angeles, CA,176.0
Data Scientist,3.6,Humana,"Louisville, KY",1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),"Cigna, Aetna, UnitedHealth Group",0,Torrance, CA,176.0
Data Engineer,3.8,NBC Universal,"New York, NY",1906,Company - Public,TV Broadcast & Cable Networks,Media,$10+ billion (USD),-1,0,Universal City, CA,176.0
Data Analyst,5.0,"Staffigo Technical Services, LLC","Woodridge, IL",2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,0,Los Angeles, CA,176.0
Data Engineer,5.0,Tapcart,"Santa Monica, CA",2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,0,Santa Monica, CA,176.0
Data Scientist,3.7,IBM,"Armonk, NY",1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",0,Los Angeles, CA,176.0
Data Engineer,3.3,ZEFR,"Venice, CA",1976,Company - Private,Motion Picture Production & Distribution,Media,$10 to $25 million (USD),-1,0,Marina del Rey, CA,176.0
Data Scientist,3.3,Beachbody,"Santa Monica, CA",1998,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD),-1,0,El Segundo, CA,176.0
Data Analyst,3.6,Superior Court of California County of Los Angeles,"Los Angeles, CA",1976,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1,0,Los Angeles, CA,176.0
Data Engineer,3.6,J. Paul Getty Trust,"Los Angeles, CA",1954,Nonprofit Organization,Grantmaking Foundations,Non-Profit,Unknown / Non-Applicable,-1,0,Los Angeles, CA,176.0
Data Analyst,3.2835763622409817,Eleven Recruiting - CHURN,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Los Angeles, CA,176.0
EXPLORATORY DATA ANALYSIS INSTRUCTOR,3.8,UCLA Extension,"Los Angeles, CA",1976,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,Los Angeles, CA,176.0
Data Analyst,3.5,"Internet Brands, Inc.","El Segundo, CA",1998,Company - Private,Internet,Information Technology,$1 to $2 billion (USD),-1,0,Los Angeles, CA,176.0
Data Engineer,4.7,TEEMA,"Litchfield Park, AZ",2008,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,0,Los Angeles, CA,100.5
Data Analyst,4.6,TutorMe,"Los Angeles, CA",2015,Subsidiary or Business Segment,Colleges & Universities,Education,Unknown / Non-Applicable,"Chegg, Tutor.com, Smarthinking",0,Los Angeles, CA,100.5
ARTIFICIAL INTELLIGENCE,3.9,The Aerospace Corporation,"El Segundo, CA",1960,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,El Segundo, CA,100.5
Data Scientist,4.1,Los Angeles County,"Los Angeles, CA",1850,Government,Municipal Governments,Government,$10+ billion (USD),-1,0,Los Angeles, CA,100.5
Data Scientist,4.2,CyberCoders,"Irvine, CA",1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0,El Segundo, CA,100.5
Data Analyst,4.0,NEXT Trucking,"Los Angeles, CA",2015,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$50 to $100 million (USD),"Flexport, Convoy, C.H. Robinson",1,El Segundo, CA,100.5
Data Analyst,3.7,"iSpace, Inc","El Segundo, CA",2000,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),Cyient,0,Glendale, CA,100.5
Data Analyst,3.4,Kite Pharma,"Santa Monica, CA",2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,0,Santa Monica, CA,100.5
Data Analyst,3.6,City National Bank,"Los Angeles, CA",1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",0,Los Angeles, CA,100.5
BUSINESS ANALYTICS MANAGER,4.5,Miro,"San Francisco, CA",2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Trello, Slack, Lucid Software",1,Los Angeles, CA,100.5
Data Scientist,3.2835763622409817,12traits,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Los Angeles, CA,100.5
Data Analyst,3.6,The Wonderful Company,"Los Angeles, CA",1980,Company - Private,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,0,Los Angeles, CA,100.5
Data Scientist,3.8,Apex Systems,"Glen Allen, VA",1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",1,Los Angeles, CA,100.5
Data Analyst,5.0,Tilde Staff Inc.,"Pasadena, CA",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Pasadena, CA,100.5
Data Analyst,4.3,"ConsultNet, LLC","South Jordan, UT",1996,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,0,Burbank, CA,100.5
Data Scientist,3.2835763622409817,Home Life Connect / Strategic Planning Monaco,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Monaco, CA,100.5
Data Scientist,1.6,"Management Decisions, Inc.","Milwaukee, WI",1976,Company - Public,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,0,Venice, CA,100.5
Data Scientist,4.9,BioPhase Solutions,"San Diego, CA",1976,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),-1,0,Los Angeles, CA,100.5
Data Engineer,3.2835763622409817,GradTests (gradtests.com.au),unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Los Angeles, CA,100.5
Data Analyst,4.0,UCLA Health,"Los Angeles, CA",1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Cedars-Sinai Medical Center, Loma Linda University Health, Harbor Hospital",0,Los Angeles, CA,100.5
Data Analyst,5.0,Scale Media,"Sherman Oaks, CA",1976,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,Los Angeles, CA,100.5
Data Scientist,3.7,Turner Broadcasting,"New York, NY",2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),"Walt Disney Company, NBCUniversal",0,Burbank, CA,100.5
Consultant,3.7,IBM,"Armonk, NY",1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",0,Los Angeles, CA,100.5
Data Engineer,5.0,ingenium.agency,"New York, NY",2016,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,0,Los Angeles, CA,100.5
Data Analyst,3.8,TikTok,"Los Angeles, CA",2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,Los Angeles, CA,100.5
Data Scientist,2.5,JM Eagle,"Los Angeles, CA",1983,Company - Private,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),-1,0,Los Angeles, CA,100.5
Data Analyst,4.0,Lorven Technologies Inc,"Plainsboro, NJ",1976,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,0,Los Angeles, CA,100.5
Data Analyst,3.3,Tillster,"San Diego, CA",2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,Los Angeles, CA,100.5
Data Analyst,3.2835763622409817,Center For Policing Equity,"New York, NY",1976,Nonprofit Organization,Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,Los Angeles, CA,100.5
LEAD DATA SCIENCE INSTRUCTOR,3.9,Galvanize,"Denver, CO",2012,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,"General Assembly, Hack Reactor, WeWork",0,Los Angeles, CA,100.5
Data Scientist,3.7,IBM,"Armonk, NY",1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",0,Los Angeles, CA,170.0
BEHAVIORAL DATA SCIENCE MANAGER,3.7,mPulse Mobile,"Encino, CA",2014,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,Los Angeles, CA,170.0
Data Analyst,3.8,UC Davis Medical Center,"Sacramento, CA",1976,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,Los Angeles, CA,170.0
Data Analyst,4.0,Swinerton Builders,"San Francisco, CA",1888,Company - Private,Construction,"Construction, Repair & Maintenance",$2 to $5 billion (USD),"DPR Construction, Webcor",0,Los Angeles, CA,170.0
Data Scientist,1.6,"Management Decisions, Inc.","Milwaukee, WI",1976,Company - Public,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,0,Glendale, CA,170.0
Data Scientist,3.8,UtopiaCompression Corporation,"Los Angeles, CA",1976,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,1,Los Angeles, CA,170.0
Data Scientist,3.6,ServiceTitan,"Glendale, CA",2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"FieldAware, FieldEdge, SuccessWare",0,Los Angeles, CA,170.0
Data Scientist,3.7,Icon Media Direct,"Van Nuys, CA",2000,Company - Private,Advertising & Marketing,Business Services,$5 to $10 million (USD),-1,0,Sherman Oaks, CA,170.0
DATA MODELER,4.0,Kairos Technologies,"Irving, TX",2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,0,Los Angeles, CA,170.0
Data Analyst,3.5,Robert Half,"Menlo Park, CA",1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",0,El Segundo, CA,170.0
Data Analyst,3.4,Casting Networks,"Los Angeles, CA",2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,0,Los Angeles, CA,170.0
Data Scientist,3.7,"Icon Media Direct, Inc.","Van Nuys, CA",2000,Company - Private,Advertising & Marketing,Business Services,$5 to $10 million (USD),-1,0,Sherman Oaks, CA,170.0
Data Scientist,4.4,Arete Associates Inc,"Rolling Meadows, IL",2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,Northridge, CA,170.0
Data Engineer,4.4,Direct Agents,"New York, NY",2003,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,1,Culver City, CA,170.0
Data Engineer,3.6,ViacomCBS,"New York, NY",2019,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"NBCUniversal, WarnerMedia, Netflix",0,Los Angeles, CA,170.0
INSTRUCTOR,4.9,Jobot,"Irvine, CA",2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,Los Angeles, CA,170.0
Data Analyst,3.2835763622409817,Burst Oral Care,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Los Angeles, CA,170.0
Data Analyst,3.1,Computershare,"Melbourne, Australia",1978,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1,0,El Segundo, CA,170.0
Data Analyst,5.0,"Staffigo Technical Services, LLC","Woodridge, IL",2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,0,Los Angeles, CA,170.0
Data Scientist,3.9,Amazon,"Seattle, WA",1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,Santa Monica, CA,170.0
Data Scientist,3.2835763622409817,Elever Professional,"Austin, TX",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Los Angeles, CA,170.0
Data Scientist,3.3,City of Hope,"Duarte, CA",1913,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"MD Anderson Cancer Center, Memorial Sloan Kettering, UCLA Health",0,Duarte, CA,170.0
Data Analyst,3.2835763622409817,Eleven Recruiting - CHURN,"Los Angeles, CA",1976,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,Los Angeles, CA,170.0
Data Analyst,3.4,DatamanUSA,"Centennial, CO",1976,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,0,Los Angeles, CA,170.0
Data Engineer,3.7,mPulse Mobile,"Encino, CA",2014,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,Los Angeles, CA,170.0
Data Scientist,3.8,"GenapSys, Inc.","Redwood City, CA",2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),"Illumina, Thermo Fisher Scientific, Oxford Nanopore Technologies",1,Los Angeles, CA,170.0
Data Analyst,3.9,Lucky Day,"Los Angeles, CA",2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,Los Angeles, CA,170.0
Data Analyst,3.7,IBM,"Armonk, NY",1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",0,Los Angeles, CA,170.0
Data Scientist,3.4,Thermo Fisher Scientific,"Waltham, MA",1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Illumina, Agilent Technologies, Roche",0,Los Angeles, CA,170.0
Data Engineer,3.2835763622409817,Trovetechs Inc,"Hillsborough, NJ",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Universal City, CA,170.0
Data Analyst,4.0,Fox Corporation,"New York, NY",2019,Company - Public,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,-1,0,Los Angeles, CA,94.0
Data Engineer,3.7,ProSearch Strategies,"Los Angeles, CA",1976,Company - Private,Accounting,Accounting & Legal,$10 to $25 million (USD),-1,0,Los Angeles, CA,94.0
Data Scientist,3.2835763622409817,Metropolis,"Los Angeles, CA",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Los Angeles, CA,94.0
Data Engineer,3.2835763622409817,Tangerine Search Inc,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Los Angeles, CA,94.0
Data Scientist,3.9,The Aerospace Corporation,"El Segundo, CA",1960,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,El Segundo, CA,94.0
Data Scientist,3.7,Turner Broadcasting,"New York, NY",2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),"Walt Disney Company, NBCUniversal",0,Burbank, CA,94.0
Data Engineer,4.0,Prosum,"El Segundo, CA",1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),"Kforce, NTT DATA, IBM",0,Los Angeles, CA,94.0
Data Analyst,4.3,"Dave, Inc.","Los Angeles, CA",2016,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,Los Angeles, CA,94.0
Data Engineer,3.2,"Adroit Worldwide Media, Inc. (AWM Smart Shelf)","Aliso Viejo, CA",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Los Angeles, CA,94.0
Data Engineer,3.9,Analog Devices,"Norwood, MA",1965,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 billion (USD),"Texas Instruments, Qualcomm",0,Wilmington, CA,94.0
MANAGER,3.7,Turner Broadcasting,"New York, NY",2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),"Walt Disney Company, NBCUniversal",0,Los Angeles, CA,94.0
Data Scientist,4.0,UCLA Health,"Los Angeles, CA",1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Cedars-Sinai Medical Center, Loma Linda University Health, Harbor Hospital",0,Los Angeles, CA,94.0
Data Analyst,3.6,ICONMA,"Troy, MI",2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Experis,0,Culver City, CA,94.0
Data Analyst,3.1,MyLife.com,"Los Angeles, CA",2002,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,0,Los Angeles, CA,94.0
Data Analyst,4.7,PlayQ,"Santa Monica, CA",2007,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,0,Santa Monica, CA,94.0
Data Engineer,4.0,Prosum,"El Segundo, CA",1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),"Kforce, NTT DATA, IBM",0,Los Angeles, CA,94.0
Data Scientist,3.3,Beachbody,"Santa Monica, CA",1998,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD),-1,0,El Segundo, CA,94.0
Data Engineer,3.2835763622409817,Bloomstaff,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Los Angeles, CA,94.0
Data Engineer,3.2835763622409817,ingenium.agency,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,Los Angeles, CA,94.0
Data Engineer,3.2835763622409817,EvolvInc,"Los Angeles, CA",2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,Burbank, CA,94.0
Data Engineer,4.2,CyberCoders,"Irvine, CA",1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0,Pasadena, CA,94.0
Data Engineer,4.8,Agilisium LLC,"Westlake Village, CA",2012,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,0,Los Angeles, CA,94.0
Data Scientist,3.2835763622409817,UltraHealth Agency,"Pasadena, CA",1976,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,0,Los Angeles, CA,94.0
Data Engineer,4.2,CyberCoders,"Irvine, CA",1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0,Calabasas, CA,94.0
Data Scientist,5.0,WB Technology,"Bishnupur , India",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Burbank, CA,94.0
Data Scientist,3.2,Activision Publishing,"Santa Monica, CA",1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),"Electronic Arts, Sony, Take-Two",0,Santa Monica, CA,94.0
Data Scientist,3.3,City of Hope,"Duarte, CA",1913,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"MD Anderson Cancer Center, Memorial Sloan Kettering, UCLA Health",0,Irwindale, CA,94.0
